code,title,date,venue,fee
1,"Computer Application in Data Processing, Office Administration and Personnel Management","13 - 17 Apr., 25 - 29 May, 13 - 17 Jul., 07 - 11 Dec., 2026","Nasarawa, Lagos, Bauchi, Ibadan, Lagos, Port Harcourt, Abuja, Nasarawa, Bauchi","N460,000"
2,Computer Word Processing and Graphic Application,"16 - 20 Mar., 15 - 19 Jun., 20 - 24 Jul., 05 - 09 Oct., 2026","Lagos, Abuja, Port Harcourt, Nasarawa,  Ibadan, Bauchi, Port Harcourt, Abuja, Nasarawa, Bauchi","N445,000"
3,Microsoft Office Productivity Tools,"09 - 13 Mar., 22 - 26 Jun., 20 - 24 Jul., 19 - 23 Oct., 2026","Lagos, Abuja, Nasarawa, Lagos, Port Harcourt, Bauchi, Port Harcourt, Lagos, Nasarawa, Bauchi","N480,000"
4,Information Techniques (IT)  Awareness for Productivity Improvement,"16 - 20 Feb., 01 - 05 Jun., 13 - 17 Jul., 07 - 11 Dec., 2026","Lagos, Abuja, Abuja, Nasarawa, Port Harcourt, Bauchi, Port Harcourt, Abuja, Nasarawa, Bauchi","N530,000"
5,Information Techniques (IT)  Awareness for Productivity Improvement,"04 - 08 May, 22 - 26 Jun., 20 - 24 Jul., 07 - 11 Dec., 2026","Lagos, Abuja, Nasarawa, Bauchi, Nasarawa, Abuja, Lagos, Port Harcourt, Ibadan, Abuja, Nasarawa, Bauchi","N500,000"
6,AI-powered Surveillance Predictive Policing: Data-Driven Security,"02 - 06 Mar., 20 - 25 Apr., 07 - 11 Sept., 02 - 06 Nov., 2026","Ibadan, Lagos, Bauchi, Nasarawa, Nasarawa, Port Harcourt, Abuja, Nasarawa, Bauchi","N500,000"
7,"Advance Excel Analysis, Charting & Audit Practice","16 - 20 Feb., 25 - 29 May, 17 - 21 Aug., 19 - 13 Nov., 2026 ","Ibadan, Lagos, Abuja, Abuja, Nasarawa, Port Harcourt, Bauchi, Port Harcourt, Abuja, Nasarawa, Bauchi","N495,000"
8,Computer Techniques in Engineering Design Using AutoCAD,"16 - 20 Mar., 01 - 05 Jun., 24 - 28 Aug., 14 - 19 Dec., 2026","Lagos, Abuja, Port Harcourt, Ibadan, Bauchi, Port Harcourt, Abuja, Nasarawa, Lagos, Ibadan","N530,000"
9,Computer Techniques in Accounting and Audit Practice,"06 - 10 Apr., 22 - 26 Jun., 24 - 28 Aug., 23 - 27 Nov., 2026","Lagos, Abuja, Ibadan, Port Harcourt, Bauchi, Ibadan, Lagos, Nasarawa, Abuja","N495,000"
10,Information Technology (IT) Awareness for Productivity Improvement,"23 - 27 Mar., 25 - 29 May, 10 - 14 Aug., 16 - 20 Nov., 2026","Lagos, Abuja, Ibadan, Nasarawa, Port Harcourt,Bauchi, Port Harcourt, Lagos, Nasarawa, Bauchi","N530,000"
11,Electronic Records Management in the Public Sector,"02 - 06 Mar., 11 - 15 May, 20 - 24 Jul., 08 - 12 Dec., 2026","Lagos, Abuja, Abuja, Port Harcourt, Ibadan, Lagos, Bauchi, Abuja, Nasarawa, Bauchi","N510,000"
12,Electronic Document Management System (EDMS),"04 - 08 May, 22 - 26 Jun., 03 - 07 Aug., 02 - 06 Nov., 2026","Lagos, Abuja, Port Harcourt, Bauchi, Nasarawa,Lagos, Port Harcourt, Abuja, Nasarawa, Bauchi","N510,000"
13,IT Project Management,"16 - 20 Feb., 18 - 22 May, 27 - 31 Jul., 02 - 06 Nov., 2026","Lagos, Ibadan, Ibadan, Port Harcourt","N450,000"
14,Cisco Certified Network Associate (CCNA),"23 - 27 Mar., 25 - 29 May, 13 - 17 Jul., 05 - 09 Oct., 2026 ","Ibadan, Lagos, Lagos, Bauchi, Port Harcourt","N450,000"
15,ICT Application in Monitoring and Evaluation of Projects  ,"04 - 08 May, 15 - 19 Jun., 20 - 24 Jul., 05 - 09 Oct., 2026","Ibadan, Port Harcourt, Lagos, Nasarawa, Bauchi","N529,000"
